khoảng cách trên,khoảng cách dưới
0.646,0.796,08_16_31
0.609,0.734,08_16_32
0.59,0.797,08_16_34
0.631,0.744,08_16_36
0.617,0.748,08_16_38
0.599,0.752,08_16_39
0.624,0.755,08_16_41
0.586,0.779,08_16_42
0.615,0.74,08_16_44
0.624,0.756,08_16_46
0.633,0.804,08_16_47
0.574,0.777,08_16_49
0.579,0.775,08_16_51
0.552,0.785,08_16_52
0.545,0.827,08_16_54
0.549,0.721,08_16_55
0.625,0.784,08_16_57
0.612,0.825,08_16_58
0.645,0.815,08_17_00
0.649,0.847,08_17_02
0.588,0.829,08_17_04
0.646,0.818,08_17_06
0.612,0.718,08_17_07
0.662,0.728,08_17_09
0.663,0.823,08_17_10
0.627,0.766,08_17_12
0.62,0.798,08_17_14
0.654,0.784,08_17_15
0.58,0.801,08_17_17
0.583,0.767,08_17_18
0.565,0.834,08_17_20
0.592,0.784,08_17_21
0.605,0.754,08_17_23
0.541,0.813,08_17_25
0.616,0.73,08_17_26
0.581,0.756,08_17_28
0.636,0.745,08_17_29
0.617,0.719,08_17_31
0.694,0.826,08_17_33
0.566,0.797,08_17_34
0.644,0.832,08_17_36
0.619,0.805,08_17_37
0.68,0.791,08_17_39
0.64,0.841,08_17_41
0.601,0.85,08_17_42
0.619,0.818,08_17_44
0.604,0.736,08_17_45
0.623,0.717,08_17_47
0.593,0.76,08_17_49
0.59,0.768,08_17_50
0.679,0.748,08_17_52
0.565,0.757,08_17_54
0.643,0.76,08_17_55
0.639,0.802,08_17_57
0.676,0.808,08_17_58
0.616,0.759,08_18_00
0.632,0.793,08_18_02
0.644,0.786,08_18_03
0.607,0.887,08_18_05
0.608,0.936,08_18_06
0.57,0.721,08_18_08
0.616,0.713,08_18_10
0.55,0.763,08_18_11
0.69,0.82,08_18_13
0.612,0.88,08_18_14
0.578,0.754,08_18_16
0.579,0.797,08_18_18
0.608,0.736,08_18_19
0.602,0.744,08_18_21
0.569,0.695,08_18_22
0.586,0.741,08_18_24
0.559,0.808,08_18_25
0.661,0.734,08_18_27
0.597,0.705,08_18_29
0.575,0.751,08_18_30
0.669,0.718,08_18_32
0.631,0.877,08_18_34
0.626,0.756,08_18_35
0.597,0.754,08_18_37
0.637,0.732,08_18_38
